cmpdname,isosmiles
"(8R)-7,8,9,10-Tetrahydro-6,8,11-trihydroxy-8-(1-hydroxyethyl)-1-methoxy-5,12-naphthacenedione",CC([C@]1(CCC2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O)O
Purpactin A,CC1=CC2=C(C(=C1)O)OC3=C(C(=C(C=C3)[C@H](CC(C)C)OC(=O)C)OC)C(=O)OC2
cercophorin C,CC1=CC2=CC(=C(C(=C2C(=O)O1)O)C(=O)OC3=C(C=C(C=C3O)OC)C(=O)OC)O
Radiosumin B,CC(=O)N[C@@H]1CC/C(=C\\[C@@H](C(=O)O)NC(=O)[C@H](/C=C/2\\CC[C@H](C=C2)NC)NC(=O)C)/C=C1
Preaustinoid B,CC(=O)[C@]1(C(=O)C2(C(=C)C1(CC3[C@]2(CCC4[C@@]3(CCC(=O)C4(C)C)C)C)C)C(=O)OC)O
Urauchimycin A,CCC(C)CC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)O
6'-Chloro-10alpha-hydroxymelleolide,CC1=C(C(=CC(=C1Cl)O)O)C(=O)O[C@@H]2C[C@]3([C@@]2(C(=C[C@H]4[C@@H]3[C@H](C(C4)(C)C)O)C=O)O)C
Bacilysocin,CCC(C)CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)O
Fiscalin A,C[C@H]1C(=O)N2[C@@H](N1)[C@@](C3=CC=CC=C32)(C[C@@H]4C(=O)N[C@H](C5=NC6=CC=CC=C6C(=O)N45)C(C)C)O
"(2Z)-2-(1,3-oxazol-4-ylmethylidene)butane-1,3-diol",CC(/C(=C\\C1=COC=N1)/CO)O
Cetoniacytone B,C1=C([C@@H]([C@@H]2[C@](C1=O)(O2)CO)O)N
"2H-Pyran-2-one, 5-(hydroxymethyl)-4-methoxy-6-propyl-",CCCC1=C(C(=CC(=O)O1)OC)CO
Alcanivorone,CC1=C(C=C(C(=O)O1)O)/C=C(/C)\\C(=O)O
Pyrenolide D,C[C@@H]1[C@@H]([C@@H]2[C@H](O1)C[C@@]3(O2)C=CC(=O)O3)O
Trametol,C[C@@H]([C@@H](C1=CC(=C(C=C1)OC)Cl)O)O
"(3S,7R)-Illudin M",CC1=C2[C@@H](C(C=C2C(=O)[C@@](C13CC3)(C)O)(C)C)O
Agrocybolacton,CC1(CC[C@@H]([C@@]23[C@H]1CC=C4[C@@H]2[C@H](OC4)OC3=O)O)C
N-(3-amino-3-methylbutanoyl)phenylalanine,CC(C)(CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N
"1(3H)-Isobenzofuranone, 3-heptyl-4,5,6-trihydroxy-",CCCCCCCC1C2=C(C(=C(C=C2C(=O)O1)O)O)O
Pentalenolactone O,C[C@H]1[C@H]2C=C([C@H]3C2(C=C1C)[C@](C(=O)OC3)(CO)O)C(=O)O
Benesudon,CCCCCCC[C@@H]1[C@]([C@@H](C2=C(O1)OC(=C)C2=O)O)(C)O
Tricholomenyn A,CC(=CCCC(=C)C#CC1=C[C@H]([C@H]2[C@@H](C1=O)O2)OC(=O)C)C
"[(4aR,5R,6R,7S)-6-hydroxy-3,4a,5-trimethyl-2-oxo-4,5,6,7-tetrahydrobenzo[f][1]benzofuran-7-yl] acetate",C[C@H]1[C@H]([C@H](C=C2[C@@]1(CC3=C(C(=O)OC3=C2)C)C)OC(=O)C)O
Benzastatin A,CC(=C(C)CC/C(=C/CC1=C(C=CC(=C1)C(=O)N)N)/COC)C
"methyl (4R,4aS)-4,8-dihydroxy-6-(hydroxymethyl)-9-oxo-4,9-dihydro-4aH-xanthene-4a-carboxylate",COC(=O)[C@@]12[C@@H](C=CC=C1C(=O)C3=C(C=C(C=C3O2)CO)O)O
Chloroquinocin,CCCC1C2=C(C3=C(C=C2C=C(O1)C)C(=O)C(=O)C(=C3O)Cl)O
"(1R,2S,7S,8R,9S,12S,17S)-7,8-dihydroxy-1,12,17-trimethyl-10,13-dioxatetracyclo[7.7.1.02,7.011,15]heptadec-11(15)-ene-14,16-dione",C[C@@H]1[C@H]2[C@H]([C@@]3(CCCC[C@H]3[C@@]1(C(=O)C4=C(O2)[C@@H](OC4=O)C)C)O)O
7-Deacetoxyyanuthone,CC1=CC(=O)[C@]2([C@@H]([C@@H]1O)O2)C/C=C(\\C)/CC/C=C(\\C)/CCC=C(C)C
Palmarumycin C12,C1=CC2=C3C(=C1)OC4([C@@H]5[C@@H](O5)[C@H](C6=C(C=CC(=C64)O)O)O)OC3=CC=C2
"1,3,8,10,11-Pentahydroxy-6-methyltetracene-5,12-dione",CC1=C2C=C(C=C(C2=C(C3=C1C(=O)C4=C(C3=O)C(=CC(=C4)O)O)O)O)O
"2-(1,5-Dihydroxy-3,4-dioxonaphthalen-2-yl)-3-methoxy-5-methylbenzoic acid",CC1=CC(=C(C(=C1)OC)C2=C(C3=C(C(=CC=C3)O)C(=O)C2=O)O)C(=O)O
Dibefurin,CC1=C2COCC23C(=O)C(C1=O)(C45COCC4=C(C(=O)C3(C5=O)O)C)O
Parvisporin,C/C(=C\\CC/C(=C/CC1=C(C=C(C(=C1O)C=O)CO)O)/C)/CCCC(C)(C)O
3-[(E)-2-acetamidoethenyl]sulfinyl-7-oxo-6-(1-sulfooxyethyl)-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid,CC(C1C2CC(=C(N2C1=O)C(=O)O)S(=O)/C=C/NC(=O)C)OS(=O)(=O)O
Epithienamycin F,C[C@@H]([C@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)C)OS(=O)(=O)O
Andrastin B,CC1=C[C@@H]2[C@](CC[C@H]3[C@]2(CC[C@@H](C3(C)C)OC(=O)C)CO)([C@]4([C@@]1(C(=C(C4=O)C)O)C)C(=O)OC)C
"4-Ethenylbenzene-1,3-diol",C=CC1=C(C=C(C=C1)O)O
Cyclo(dehydroala-L-Leu),CC(C)C[C@H]1C(=O)NC(=C)C(=O)N1
4-Oxo-5-phenylpentanoic acid,C1=CC=C(C=C1)CC(=O)CCC(=O)O
"(6R,10S)-10-methyl-6-dodecanolide",CC[C@H](C)CCC[C@H]1CCCCC(=O)O1
"4alpha,5beta-Dihydroxy-6beta-(acetylamino)piperidine-3alpha-carboxylic acid",CC(=O)N[C@@H]1[C@@H]([C@H]([C@H](CN1)C(=O)O)O)O
6-Benzyl-3-isopropyl-2(1H)-pyrazinone,CC(C)C1=NC=C(NC1=O)CC2=CC=CC=C2
Tremulenolide A,C[C@H]1CC[C@@H]2COC(=O)C2=C3[C@H]1CC(C3)(C)C
Pyrenocine E,CC1=C(C(=CC(=O)O1)OC)C(=O)CC(C)OC
Bhimamycin E,CC(=O)C1=C(C(=O)C2=C(C1=O)C(=CC=C2)O)CO
"(2aS,4aS,5R,7aS,7bR)-7a-(hydroxymethyl)-2,2,4a-trimethyl-1,2,3,4,4a,5,7a,7b-octahydro-2aH-cyclobuta[e]indene-2a,5-diol",C[C@]12CC[C@@]3([C@@H]([C@]1(C=C[C@H]2O)CO)CC3(C)C)O
SF-2738-D; Collismycin D,COC1=CC(=NC(=C1SC)C#N)C2=CC=CC=N2
Nigerloxin,C/C=C/C1=C(C(=C(C(=C1O)C(=O)N)C(=O)O)OC)C
Nidulal,CC1=CC2(C(=O)C(=CO2)C3CCC(CC3)C=O)OC1=O
Aigialone,CCCCCCC[C@H]1[C@]([C@H](C2=C(O1)O[C@H](C2=O)C)O)(C)O
Phomopsidin,C/C=C(\\C)/[C@H]1[C@H]([C@@H]2[C@H](CC[C@@H]([C@@H]2C=C1C)O)C)/C=C/C=C/C(=O)O
Benzastatin C,CC(=C(C)CC[C@]1([C@@H](CC2=C(N1)C=CC(=C2)C(=O)N)Cl)COC)C
Guanacastepene A,CC(C)[C@H]1[C@H](C(=O)C2=CC3=C([C@H](CC[C@]3(CC[C@]12C)C)O)C=O)OC(=O)C
"(7R,8R,8aS)-8-Acetoxy-5-chloro-3-[(1E,3E)-3,5-dimethyl-1,3-heptadienyl]-1,7,8,8a-tetrahydro-7-hydroxy-7-methyl-6H-2-benzopyran-6-one",CCC(C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@]([C@@H]([C@@H]2CO1)OC(=O)C)(C)O)Cl
Kynapcin-28,COC(=O)C1=C(C2=CC(=C(C=C2O1)O)O)C3=C(OC4=CC(=C(C=C43)O)O)C(=O)O
Lavanduquinocin,CC1=C(CCC(C1)(C)C)CC2=CC3=C(C=C2)NC4=C3C(=O)C(=O)C(=C4C[C@@H](C)O)C
Oxopropaline B,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OCC(C(=O)C2=NC=C(C3=C2NC4=CC=CC=C43)C)O)O)O)O
Trichodenone A,C=CC1(CC(=O)C=C1)O
Erinapyrone A,C[C@H]1CC(=O)C=C(O1)CO
Etrogol,CC(=CCOC1=CC=C(C=C1)CCO)C
Sattazolin,CC(C)CC(=O)C(CC1=CNC2=CC=CC=C21)O
Quinolactacin C,CCC(C)C1(C2=C(C(=O)C3=CC=CC=C3N2C)C(=O)N1)O
Diolmycin A2,C1=CC=C2C(=C1)C(=CN2)C[C@@H]([C@H](CC3=CC=C(C=C3)O)O)O
"2-Chloro-1,3-dihydroxy-8-methoxy-6-methylanthracene-9,10-dione",CC1=CC2=C(C(=C1)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)Cl)O
Hericenol A,CC(=CCC/C(=C/CC1=C(C=C(C(=C1O)CO)CO)OC)/C)C
"methyl (4R,4aS)-4-(acetyloxy)-8-hydroxy-6-methyl-9-oxo-4,9-dihydro-4aH-xanthene-4a-carboxylate",CC1=CC(=C2C(=C1)O[C@@]3([C@@H](C=CC=C3C2=O)OC(=O)C)C(=O)OC)O
Preussomerin F,C1C[C@]23C4=C([C@H]1O)C=CC=C4O[C@@]5(O2)[C@H]6[C@H](O6)C(=O)C7=C(C=CC(=C57)O3)O
"(1'S,2'S,3'R,5'R,7'R,11'S)-2',11'-dihydroxyspiro[2,4-dioxatricyclo[7.3.1.05,13]trideca-1(12),5,7,9(13),10-pentaene-3,6'-4,12-dioxatetracyclo[5.4.1.01,7.03,5]dodecane]-8'-one",C1CC(=O)[C@@]23[C@@]([C@H]1O)(O2)[C@H]([C@@H]4[C@H](C35OC6=CC=CC7=C6C(=CC=C7)O5)O4)O
Preussomerin K,C1[C@H]([C@]23C4=C(C1=O)C=CC=C4O[C@@]5(O2)[C@H]6[C@H](O6)C(=O)C7=C(C=CC(=C57)O3)O)O
"(2E,4E)-2,4,6-Octatrienoic acid [(5R)-1,3,5,5aalpha,6,7,8,9,9a,9balpha-decahydro-9balpha-hydroxy-6,6,9abeta-trimethyl-1-oxonaphtho[1,2-c]furan]-5beta-yl ester",C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@@]2([C@@]3([C@@H]1C(CCC3)(C)C)C)O
Preussomerin I,CO[C@@H]1CC(=O)C2=C3[C@@]14OC5=C6C(=C(C=C5)O)C(=O)[C@@H]7[C@H]([C@]6(O4)OC3=CC=C2)O7
spirotryprostatin A,CC(=C[C@H]1[C@]2(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(C=C(C=C5)OC)NC2=O)C
Spiroquinazoline,C[C@]12C3=NC4=CC=CC=C4C(=O)N3[C@H](C[C@]15[C@H]6NCC(=O)N6C7=CC=CC=C57)C(=O)N2
Erinacine A,CC(C)C1=C2C3=CC=C(C[C@@H]([C@@]3(CC[C@]2(CC1)C)C)O[C@H]4[C@@H]([C@H]([C@@H](CO4)O)O)O)C=O
Terpendole G,C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)([C@@H](C[C@H](O3)C(C)(C)O)O)C=O
Aranotina,CC(=O)O[C@H]1C=COC=C2[C@@H]1N3C(=O)[C@]45CC6=COC=C[C@@H]([C@H]6N4C(=O)[C@@]3(C2)SS5)O
Pseudomonic acid C,C[C@H](/C=C/C[C@H]1CO[C@H]([C@@H]([C@@H]1O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O
Cytosaminomycin D,C/C=C(\\C)/C(=O)NC1=NC(=O)N(C=C1)[C@H]2C[C@H]([C@@H]([C@H](O2)C)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C)N(C)C)O)O)O
Dihydroepiepoformin,C[C@@H]1C[C@@H]([C@@H]2[C@H](C1=O)O2)O
Nakitriol,C=C/C=C(/CO)\\C1=C(C=CC(=C1)O)O
"4,5,6-Trihydroxy-7-methylphthalide",CC1=C2C(=C(C(=C1O)O)O)COC2=O
N-[2-(4-Hydroxy-phenyl)-ethyl]-2-methyl-butyramide,CCC(C)C(=O)NCCC1=CC=C(C=C1)O
Bagremycin A,C=CC1=CC=C(C=C1)OC(=O)C2=CC(=C(C=C2)O)N
"2,3,6,8-Tetrahydroxy-1-methylxanthone",CC1=C(C(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O)O
10-Methoxydihydrofuscin,CC1C2=C(C(=C3C(=C2C(C(=O)O1)OC)CCC(O3)(C)C)O)O
16-Hydroxyadipoyl-7-ADCA,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCCC(C(=O)O)O)SC1)C(=O)O
2-Monododecyl Citric Acid,CCCCCCCCCCCCC(C(=O)O)C(CC(=O)O)(C(=O)O)O
"(2S,3S)-3-{[(2S)-1-{[3-(2-amino-1H-imidazol-4-yl)propyl]amino}-4-methyl-1-oxopentan-2-yl]carbamoyl}oxirane-2-carboxylic acid",CC(C)C[C@@H](C(=O)NCCCC1=CN=C(N1)N)NC(=O)[C@@H]2[C@H](O2)C(=O)O
"(4R,7R,9R)-2,7,17,19-tetrahydroxy-10-oxapentacyclo[11.8.0.03,11.04,9.015,20]henicosa-1,3(11),12,15(20),16,18-hexaene-14,21-dione",C1C[C@H]2[C@@H](C[C@@H]1O)OC3=C2C(=C4C(=C3)C(=O)C5=C(C4=O)C(=CC(=C5)O)O)O
Cuevaene B,C/C(=C\\C1CCCC(=C1O)C2=CC(=C(C=C2O)O)O)/C=C(/C=C/C(=O)O)\\OC
Fusarielin D,C/C=C(\\C)/[C@H]1[C@H]([C@@H]2C[C@H]3[C@](O3)(C[C@H]2[C@H]4[C@@]1(O4)C)C)/C=C/C=C(\\C)/C(=O)C(C)CO
Panepophenanthrin,CC1([C@H]2C=C3[C@H]([C@H]4[C@@]2([C@@](O1)([C@@H]5[C@H]([C@@H]4O)O5)O)/C=C/C(C)(C)O)[C@H]([C@H]6[C@@H](C3=O)O6)O)C
fusarielin B,C/C=C(\\C)/[C@H]1[C@H]([C@@H]2C[C@H]([C@](C[C@H]2[C@H]3[C@@]1(O3)C)(C)O)O)/C=C/C=C(\\C)/[C@H]([C@@H](C)CO)O
Isokotanin B,CC1=C(C(=CC2=C1C(=CC(=O)O2)OC)O)C3=C(C=C4C(=C3C)C(=CC(=O)O4)OC)OC
Cystothiazole B,C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(C)(C)O)OC)/C(=C\\C(=O)OC)/OC
"[3-[(3-Formamido-2-hydroxybenzoyl)amino]-2,6,8-trimethyl-4,9-dioxo-1,5-dioxonan-7-yl] 2-methylpropanoate",CC1C(C(OC(=O)C(C(OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)C(C)C
Geri-BP-001A,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]3([C@@H]2[C@@H](C4=C(O3)C=C(OC4=O)C5=CN=CC=C5)O)C)C
"2-[2-(17-Amino-5,16-dihydroxy-3,7-dimethylheptadecan-4-yl)oxy-2-oxoethyl]butanedioic acid",CCC(C)C(C(CC(C)CCCCCCCCC(CN)O)O)OC(=O)CC(CC(=O)O)C(=O)O
Dihydrocarolic acid,C=C1C(=O)/C(=C\\2/CCCO2)/C(=O)O1
"2-(2-Hydroxypropan-2-yl)-2,3-dihydro-1-benzofuran-5-ol",CC(C)(C1CC2=C(O1)C=CC(=C2)O)O
"1H-Indeno[5,6-c]furan-1-one, 3,5,6,7-tetrahydro-6,6,8-trimethyl-",CC1=C2CC(CC2=CC3=C1C(=O)OC3)(C)C
Mycosporulone,C[C@H]1C=CC(=O)[C@@H]([C@]12C(=O)C(=C)OC2=O)O
"11-hydroxy-4-methyl-2E,4E,6E-dodecatrienoic acid",CC(CCC/C=C/C=C(\\C)/C=C/C(=O)O)O
Gelastatin B,C/C=C/C=C/C=C/1\\COC(=O)C(=C1)CCC(=O)O
Pseudodeflectusin,CC1CC2=C(C(O1)O)C3=C(C=C2)C(=O)C(=C(C)C)O3
Fuscinarin,CC1C2=C(C(=C3C(=C2C(=O)O1)CCC(O3)(C)C)O)O
Bripiodionen,CC1C=C/C(=C\\2/C(=O)C(NC2=O)CC(=O)N)/OC1C(C)C
Bagremycin B,CC(=O)NC1=C(C=CC(=C1)C(=O)OC2=CC=C(C=C2)C=C)O
Benzastatin H,CC(=C(CC/C(=C/CC1=C(C=CC(=C1)C(=O)N)N)/C)CO)C
Penostatin B,CCCCCCC/C=C/[C@H]1C(=C[C@H]2[C@@H]3C[C@@H](CC3=CC(=O)[C@@H]2O1)O)C
Scabronine E,CC(C)C1=C2C3=CC=C(C[C@@H]([C@@]3(CC[C@]2(CC1)C(=O)O)C)OC(=O)C)C=O
fusarielin A,C/C=C(\\C)/[C@H]1[C@H]([C@@H]2C[C@H]3[C@](O3)(C[C@H]2[C@H]4[C@@]1(O4)C)C)/C=C/C=C(\\C)/[C@H]([C@@H](C)CO)O
Pharacine,C1CCOC(=O)C2=CC=C(C=C2)C(=O)OCCCCOC(=O)C3=CC=C(C=C3)C(=O)OC1
Frankiamide,CC1CCCCC(C(OC23C4=C(C=CC=C4O)C(=O)N2C(=O)CC1O3)C(C)C(=O)C5=CC=CN5)C
Fumiquinazoline I,C[C@H]1C2=NC3=CC=CC=C3C(=O)N2[C@@H](C(=O)N1)C[C@@]4([C@@H]5N[C@H](C(=O)N5C6=CC=CC=C64)CC(C)C)O
Streptazone B2,C/C=C/1\\C2=CCCNC2=CC1=O
Streptazone D,C/C=C/C=C/C1=CC(=O)CCN1
Gabosine E,C1=C(C(=O)[C@@H]([C@H]([C@H]1O)O)O)CO
4-Epi-ethiosolide,CC[C@@H]1[C@@H]2[C@H](C(=O)O1)OC(=O)C2=C
cetoniacytone A,CC(=O)NC1=CC(=O)[C@]2([C@@H]([C@H]1O)O2)CO
cyclo(L-Phe-trans-4-hydroxy-L-Pro),C1[C@H](CN2[C@@H]1C(=O)N[C@H](C2=O)CC3=CC=CC=C3)O
Lachnumol A,C/C=C(/C12C(C(=CC(C1(O2)Cl)O)OC)O)\\Cl
valinoctin A,CCCCC[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)O)N
"1,3-Dihydroxy-8-methoxy-6-methylanthracene-9,10-dione",CC1=CC2=C(C(=C1)OC)C(=O)C3=C(C2=O)C=C(C=C3O)O
10-epi-Colletodiol,C[C@@H]1C/C=C/C(=O)O[C@@H](C[C@H]([C@H](/C=C/C(=O)O1)O)O)C
Clomostachydiol,C[C@@H]1CC[C@H](/C=C/C(=O)O[C@@H]([C@H](/C=C/C(=O)O1)O)C)O
CID 10469958,CC1=CC(=O)N(C2=C1C(=O)C3=C(C2=O)N(C(=O)C=C3C)C)C
Antrodin A,CC(C)CC1=C(C(=O)OC1=O)C2=CC=C(C=C2)OCC=C(C)C
Chloromycorrhizinol A,CC1=C(C2=C(C(=C3CC(C(OC3=C2O1)(C)C)O)O)Cl)Cl
Melanocin B,C1=CC(=C(C=C1CC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/NC=O)O)O
Benzastatin D,CC(=C(C)CC[C@]1([C@@H](CC2=C(N1)C=CC(=C2)C(=O)N)O)COC)C
Ochracenomicin A,CC1CC(=O)C2(C3=C(C=CC2(C1)O)C(=O)C4=C(C3=O)C=CC=C4O)O
Brasiliquinone C,CC[C@H]1CC2=CC(=C3C(=C2C(=O)C1)C(=O)C4=C(C3=O)C(=CC=C4)OC)O
Phosphatoquinone A,CC(=CCC/C(=C/C[C@@]12C(=O)C3=C(C(=CC(=C3)O)O)C(=O)[C@@]1(O2)C)/C)C
Spiroxin C,C1=CC2=C3C(=C1)O[C@@]45[C@H]6[C@H](O6)C(=O)C7=C(C=CC(=C74)[C@@]3(O5)[C@H]8[C@@H](C2=O)O8)O
(6E)-3-[(E)-2-acetamidoethenyl]sulfinyl-6-(1-hydroxypropan-2-ylidene)-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid,C/C(=C\\1/C2CC(=C(N2C1=O)C(=O)O)S(=O)/C=C/NC(=O)C)/CO
"3-(hydroxymethyl)-6-(1H-indol-3-ylmethyl)-3,6-bis(methylsulfanyl)piperazine-2,5-dione",CSC1(C(=O)NC(C(=O)N1)(CO)SC)CC2=CNC3=CC=CC=C32
Naphthgeranin F,CC1(C2=C(C=C(C=C2)CO)C3=C(O1)C(=O)C4=C(C3=O)C=C(C=C4O)O)CO
"[(1R,4S,4aS,8aS)-3,4-diformyl-4-hydroxy-4a,8,8-trimethyl-5,6,7,8a-tetrahydro-1H-naphthalen-1-yl] (2E,4E,6E)-octa-2,4,6-trienoate",C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C([C@@]([C@@]2([C@@H]1C(CCC2)(C)C)C)(C=O)O)C=O
Neoenactin B2,CC(C)CCCCC(=O)CCCCCCC(=O)CCN(C(=O)[C@H](CO)N)O
Methyl chloroasterrate,CC1=CC(=C(C(=C1Cl)O)C(=O)OC)OC2=C(C=C(C=C2OC)O)C(=O)OC
Sculezonone B,CC1=C2C3=C(C(=C1O)O)C(=O)C(C(=O)C3=C(C(=C2O)OC)O)(C(C)(C)C(=O)C)O
Okilactomycin,C[C@@H]1CCC[C@H]2C=C([C@H](C[C@@]23[C@H]4[C@](C(=O)C(=C)[C@H](O4)[C@@H](C1)C)(C(=O)O3)C)C)C(=O)O
"4H-1-Benzopyran-4-one, 2-(3-bromo-2-hydroxyphenyl)-5-hydroxy-3,7,8-trimethoxy-",COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=C(C(=CC=C3)Br)O)OC)OC
Andrastin D,CC1=C[C@H]2[C@@]3(CCC(=O)C([C@H]3CC[C@@]2([C@]4([C@@]1(C(=C(C4=O)C)O)C)C(=O)OC)C)(C)C)C
Patulodin,C/C=C/C=C/C=C/C1=CC2=CC(=O)C(C(=O)C23C(O1)O3)(C)OC(=O)CC(CC(C)O)O
Fluvirucin B2,CCC1CCCC(C(=O)NCCCC(C(CC1)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)N)O)CC)CC
Musacin E,C/C=C/[C@@H](C1CCC(=O)O1)O
Pyrenocine D,C/C=C(/C=O)\\C1=C(OC(=O)C=C1OC)C
Hebelophyllene E,C[C@@H]1[C@H]2CC([C@H]2C[C@H](OC1=O)C(C)(C=C)O)(C)C
Epoxysorbicillinol,C/C=C/C=C/C(=O)[C@]12[C@H](O1)[C@](C(=C(C2=O)C)O)(C)O
"2,5-Dibenzyl-3-hydroxy-6-methoxypyrazine",COC1=C(NC(=O)C(=N1)CC2=CC=CC=C2)CC3=CC=CC=C3
Circumdatin C,C[C@H]1C2=NC3=CC=CC=C3C(=O)N2C4=C(C=C(C=C4)O)C(=O)N1
Epidechlorogriseofulvin,C[C@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C=C(C=C3OC)OC)OC
Hydranthomycin,CC1(CC2=C(C(=O)C1)C3=C(C=C2)C(C4=C(C3O)C=CC=C4OC)O)O
"(4R,5S,6R,7R,9E,11Z)-13-amino-7-hydroxy-4,6-dimethyl-13-oxotrideca-9,11-dien-5-yl (2E)-3-phenylprop-2-enoate",CCC[C@@H](C)[C@@H]([C@H](C)[C@@H](C/C=C/C=C\\C(=O)N)O)OC(=O)/C=C/C1=CC=CC=C1
Melithiazol C,CC(C(/C=C/C1=CSC(=N1)C2=CSC(=N2)C(=O)C)OC)/C(=C\\C(=O)OC)/OC
Mangicol A,C[C@H]1CC[C@@H]2[C@]13[C@@H](C[C@@H](C3=C[C@@]4([C@H]2[C@@](CC4)(C)C[C@@H]([C@@H]([C@](C)(CO)O)O)O)C)C)O
Cystothiazole F,C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(C)CO)OC)/C(=C\\C(=O)OC)/OC
Arisugacin C,C[C@]12CCC(=O)C([C@@]1(CC[C@@]3([C@@H]2CC4=C(O3)C=C(OC4=O)C5=CC=C(C=C5)OC)C)O)(C)C
3-acetamidopyrazine-2-carboxylic Acid,CC(=O)NC1=NC=CN=C1C(=O)O
"2-Amino-4-methoxy-5-cyanopyrrolo[2,3-d]pyrimidine",COC1=NC(=NC2=C1C(=CN2)C#N)N
Penidilamine,CC1C=C(C(=O)O1)NC2=CC(OC2=O)C
Dermatolactone,CC1(CC(=C(C1)C2CO[C@H]3[C@@H]2CC(=O)O3)C=C)C
Jesterone,C/C=C/C1=C([C@@H]([C@@H]2[C@](C1=O)(O2)CC=C(C)C)O)CO
Brevioxime,C/C=C/CCCCC1=C(C(=O)N2CC/C(=N\\O)/C2O1)C
Dihydrozeatin riboside,CC(CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)CO
Cladosporide A,C[C@H](CO)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H]([C@]4(C)C=O)O)C)C)C
3-Dimethylamino-5-hydroxy-5-vinyl-2-cyclopenten-1-one,CN(C)C1=CC(=O)C(C1)(C=C)O
Dihydroramulosin,C[C@@H]1C[C@@H]2CCC[C@@H]([C@@H]2C(=O)O1)O
Louisianin B,C=CCC1=CNC(=O)C2=C1C(CC2)O
"2,2-Dimethylchroman-3,6 diol",CC1(C(CC2=C(O1)C=CC(=C2)O)O)C
Cyclo(4-hydroxy-R-Pro-S-Leu),CC(C)C[C@H]1C(=O)N2C[C@@H](C[C@@H]2C(=O)N1)O
2-[Methyl(3-phenylpropanoyl)amino]benzoic acid,CN(C1=CC=CC=C1C(=O)O)C(=O)CCC2=CC=CC=C2
Vertilecanin C,COC(=O)CNC(=O)C1=NC=C(C=C1)C(=O)C2=CC=CC=C2
"(3R,7S)-3-Methyl-7,12,14-trihydroxy-3,4,5,6,7,8-hexahydro-1H-2-benzoxacyclododecin-1,9(10H)-dione",C[C@@H]1CCC[C@@H](CC(=O)CC2=C(C(=CC(=C2)O)O)C(=O)O1)O
sphaeropsidin C,C[C@@]1(CC[C@]2(C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)C=C
6'-desmethylcandidusin B,COC1=C2C(=C(C=C1C3=CC(=C(C=C3)O)O)O)C4=CC(=C(C=C4O2)O)O
"(E)-N-[(2S)-1-hydroxy-3-[(R)-[(S)-methylsulfinyl]methylsulfinyl]propan-2-yl]-3-(6-methyl-2,4-dioxo-1H-pyrimidin-5-yl)prop-2-enamide",CC1=C(C(=O)NC(=O)N1)/C=C/C(=O)N[C@@H](CO)C[S@@](=O)C[S@@](=O)C
Wailupemycin B,COC1=CC(=O)OC(=C1)C[C@]23C[C@@H]4CC(=O)[C@]2(C[C@@](O4)(O3)C5=CC=CC=C5)O
3-O-methylfunicone,C/C=C/C1=C(C(=O)C(=CO1)C(=O)C2=C(C=C(C=C2OC)OC)C(=O)OC)OC
Oudemansin L,CC(C(/C=C/C1=CC2=C(C=C1)OCC(O2)C(C)(C)OC(C)(C)C=C)OC)/C(=C\\OC)/C(=O)OC
